entry,at,order
"The player ""Alwiη @ -xq7igfXAd"" stand up with the stack of 1799.",2024-03-24T09:05:10.576Z,171127111057600
"The player ""reilly @ FkycgsPCCs"" quits the game with a stack of 0.",2024-03-24T09:05:06.010Z,171127110601000
"-- ending hand #546 --",2024-03-24T09:05:02.999Z,171127110299903
"""reilly @ FkycgsPCCs"" shows a 9♥, A♣.",2024-03-24T09:05:02.999Z,171127110299902
"""Alwiη @ -xq7igfXAd"" collected 904 from pot with Full House, 9's over Q's (combination: 9♦, 9♠, 9♣, Q♦, Q♥)",2024-03-24T09:05:02.999Z,171127110299901
"""Alwiη @ -xq7igfXAd"" shows a 9♦, Q♦.",2024-03-24T09:05:02.999Z,171127110299900
"""reilly @ FkycgsPCCs"" calls 305 and go all in",2024-03-24T09:05:02.134Z,171127110213400
"""Alwiη @ -xq7igfXAd"" bets 305",2024-03-24T09:05:00.856Z,171127110085600
"River: 9♠, Q♥, 9♣, 2♦ [5♦]",2024-03-24T09:04:48.278Z,171127108827800
"""reilly @ FkycgsPCCs"" calls 98",2024-03-24T09:04:47.404Z,171127108740400
"""Alwiη @ -xq7igfXAd"" bets 98",2024-03-24T09:04:26.233Z,171127106623300
"Turn: 9♠, Q♥, 9♣ [2♦]",2024-03-24T09:04:11.543Z,171127105154300
"""reilly @ FkycgsPCCs"" calls 28",2024-03-24T09:04:10.720Z,171127105072000
"""Alwiη @ -xq7igfXAd"" bets 28",2024-03-24T09:03:56.201Z,171127103620100
"Flop:  [9♠, Q♥, 9♣]",2024-03-24T09:03:42.787Z,171127102278700
"""reilly @ FkycgsPCCs"" calls 21",2024-03-24T09:03:41.921Z,171127102192100
"""Alwiη @ -xq7igfXAd"" raises to 21",2024-03-24T09:03:35.276Z,171127101527600
"""reilly @ FkycgsPCCs"" raises to 7",2024-03-24T09:03:28.491Z,171127100849100
"""Alwiη @ -xq7igfXAd"" posts a big blind of 3",2024-03-24T09:03:25.102Z,171127100510205
"""reilly @ FkycgsPCCs"" posts a small blind of 1",2024-03-24T09:03:25.102Z,171127100510204
"Your hand is 9♦, Q♦",2024-03-24T09:03:25.102Z,171127100510202
"Player stacks: #7 ""Alwiη @ -xq7igfXAd"" (1347) | #10 ""reilly @ FkycgsPCCs"" (452)",2024-03-24T09:03:25.102Z,171127100510201
"-- starting hand #546 (id: zje6jtlmpxux)  (No Limit Texas Hold'em) (dealer: ""reilly @ FkycgsPCCs"") --",2024-03-24T09:03:25.102Z,171127100510200
"-- ending hand #545 --",2024-03-24T09:03:22.197Z,171127100219702
"""reilly @ FkycgsPCCs"" collected 198 from pot",2024-03-24T09:03:22.197Z,171127100219701
"Uncalled bet of 130 returned to ""reilly @ FkycgsPCCs""",2024-03-24T09:03:22.197Z,171127100219700
"""Alwiη @ -xq7igfXAd"" folds",2024-03-24T09:03:21.377Z,171127100137700
"""reilly @ FkycgsPCCs"" bets 130",2024-03-24T09:03:16.326Z,171127099632600
"River: 2♦, 4♣, 8♠, 10♥ [J♣]",2024-03-24T09:02:42.944Z,171127096294400
"""Alwiη @ -xq7igfXAd"" calls 55",2024-03-24T09:02:42.133Z,171127096213300
"""reilly @ FkycgsPCCs"" bets 55",2024-03-24T09:02:36.363Z,171127095636300
"Turn: 2♦, 4♣, 8♠ [10♥]",2024-03-24T09:02:21.915Z,171127094191500
"""Alwiη @ -xq7igfXAd"" calls 36",2024-03-24T09:02:21.070Z,171127094107000
"""reilly @ FkycgsPCCs"" raises to 36",2024-03-24T09:02:15.065Z,171127093506500
"""Alwiη @ -xq7igfXAd"" bets 11",2024-03-24T09:02:05.416Z,171127092541600
"""reilly @ FkycgsPCCs"" checks",2024-03-24T09:01:57.756Z,171127091775600
"Flop:  [2♦, 4♣, 8♠]",2024-03-24T09:01:55.921Z,171127091592100
"""reilly @ FkycgsPCCs"" calls 8",2024-03-24T09:01:55.075Z,171127091507500
"""Alwiη @ -xq7igfXAd"" raises to 8",2024-03-24T09:01:51.589Z,171127091158900
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-03-24T09:01:46.698Z,171127090669805
"""Alwiη @ -xq7igfXAd"" posts a small blind of 1",2024-03-24T09:01:46.698Z,171127090669804
"Your hand is 7♦, 6♦",2024-03-24T09:01:46.698Z,171127090669802
"Player stacks: #7 ""Alwiη @ -xq7igfXAd"" (1446) | #10 ""reilly @ FkycgsPCCs"" (353)",2024-03-24T09:01:46.698Z,171127090669801
"-- starting hand #545 (id: tley6suh8tlw)  (No Limit Texas Hold'em) (dealer: ""Alwiη @ -xq7igfXAd"") --",2024-03-24T09:01:46.698Z,171127090669800
"-- ending hand #544 --",2024-03-24T09:01:43.778Z,171127090377802
"""Alwiη @ -xq7igfXAd"" collected 2 from pot",2024-03-24T09:01:43.778Z,171127090377801
"Uncalled bet of 2 returned to ""Alwiη @ -xq7igfXAd""",2024-03-24T09:01:43.778Z,171127090377800
"""reilly @ FkycgsPCCs"" folds",2024-03-24T09:01:42.947Z,171127090294700
"""Alwiη @ -xq7igfXAd"" posts a big blind of 3",2024-03-24T09:01:41.692Z,171127090169205
"""reilly @ FkycgsPCCs"" posts a small blind of 1",2024-03-24T09:01:41.692Z,171127090169204
"Your hand is J♥, 10♦",2024-03-24T09:01:41.692Z,171127090169202
"Player stacks: #7 ""Alwiη @ -xq7igfXAd"" (1445) | #10 ""reilly @ FkycgsPCCs"" (354)",2024-03-24T09:01:41.692Z,171127090169201
"-- starting hand #544 (id: jslfsczr0l0u)  (No Limit Texas Hold'em) (dealer: ""reilly @ FkycgsPCCs"") --",2024-03-24T09:01:41.692Z,171127090169200
"-- ending hand #543 --",2024-03-24T09:01:38.642Z,171127089864203
"""Alwiη @ -xq7igfXAd"" shows a J♦, 9♥.",2024-03-24T09:01:38.642Z,171127089864202
"""reilly @ FkycgsPCCs"" collected 38 from pot with Straight, 5 High (combination: 5♦, 4♥, 3♣, 2♥, A♣)",2024-03-24T09:01:38.642Z,171127089864201
"""reilly @ FkycgsPCCs"" shows a A♣, 2♥.",2024-03-24T09:01:38.642Z,171127089864200
"""Alwiη @ -xq7igfXAd"" checks",2024-03-24T09:01:37.821Z,171127089782100
"""reilly @ FkycgsPCCs"" checks",2024-03-24T09:01:32.042Z,171127089204200
"River: A♥, K♦, 4♥, 3♣ [5♦]",2024-03-24T09:01:24.075Z,171127088407500
"""Alwiη @ -xq7igfXAd"" checks",2024-03-24T09:01:23.250Z,171127088325000
"""reilly @ FkycgsPCCs"" checks",2024-03-24T09:01:17.886Z,171127087788600
"Turn: A♥, K♦, 4♥ [3♣]",2024-03-24T09:01:15.466Z,171127087546600
"""reilly @ FkycgsPCCs"" calls 11",2024-03-24T09:01:14.646Z,171127087464600
"""Alwiη @ -xq7igfXAd"" bets 11",2024-03-24T09:01:04.355Z,171127086435500
"""reilly @ FkycgsPCCs"" checks",2024-03-24T09:00:56.821Z,171127085682100
"Flop:  [A♥, K♦, 4♥]",2024-03-24T09:00:54.596Z,171127085459600
"""reilly @ FkycgsPCCs"" calls 8",2024-03-24T09:00:53.769Z,171127085376900
"""Alwiη @ -xq7igfXAd"" raises to 8",2024-03-24T09:00:47.204Z,171127084720400
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-03-24T09:00:42.474Z,171127084247405
"""Alwiη @ -xq7igfXAd"" posts a small blind of 1",2024-03-24T09:00:42.474Z,171127084247404
"Your hand is J♦, 9♥",2024-03-24T09:00:42.474Z,171127084247402
"Player stacks: #7 ""Alwiη @ -xq7igfXAd"" (1464) | #10 ""reilly @ FkycgsPCCs"" (335)",2024-03-24T09:00:42.474Z,171127084247401
"-- starting hand #543 (id: 802tzxg0oroi)  (No Limit Texas Hold'em) (dealer: ""Alwiη @ -xq7igfXAd"") --",2024-03-24T09:00:42.474Z,171127084247400
"-- ending hand #542 --",2024-03-24T09:00:39.543Z,171127083954302
"""Alwiη @ -xq7igfXAd"" collected 2 from pot",2024-03-24T09:00:39.543Z,171127083954301
"Uncalled bet of 2 returned to ""Alwiη @ -xq7igfXAd""",2024-03-24T09:00:39.543Z,171127083954300
"""reilly @ FkycgsPCCs"" folds",2024-03-24T09:00:38.698Z,171127083869800
"""Alwiη @ -xq7igfXAd"" posts a big blind of 3",2024-03-24T09:00:37.663Z,171127083766305
"""reilly @ FkycgsPCCs"" posts a small blind of 1",2024-03-24T09:00:37.663Z,171127083766304
"Your hand is A♥, 8♦",2024-03-24T09:00:37.663Z,171127083766302
"Player stacks: #7 ""Alwiη @ -xq7igfXAd"" (1463) | #10 ""reilly @ FkycgsPCCs"" (336)",2024-03-24T09:00:37.663Z,171127083766301
"-- starting hand #542 (id: isfgdezbpfs6)  (No Limit Texas Hold'em) (dealer: ""reilly @ FkycgsPCCs"") --",2024-03-24T09:00:37.663Z,171127083766300
"-- ending hand #541 --",2024-03-24T09:00:34.721Z,171127083472102
"""Alwiη @ -xq7igfXAd"" collected 16 from pot",2024-03-24T09:00:34.721Z,171127083472101
"Uncalled bet of 11 returned to ""Alwiη @ -xq7igfXAd""",2024-03-24T09:00:34.721Z,171127083472100
"""reilly @ FkycgsPCCs"" folds",2024-03-24T09:00:33.867Z,171127083386700
"""Alwiη @ -xq7igfXAd"" bets 11",2024-03-24T09:00:32.230Z,171127083223000
"""reilly @ FkycgsPCCs"" checks",2024-03-24T09:00:25.707Z,171127082570700
"Flop:  [6♦, J♥, J♠]",2024-03-24T09:00:24.251Z,171127082425100
"""reilly @ FkycgsPCCs"" calls 8",2024-03-24T09:00:23.437Z,171127082343700
"""Alwiη @ -xq7igfXAd"" raises to 8",2024-03-24T09:00:19.747Z,171127081974700
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-03-24T09:00:14.301Z,171127081430105
"""Alwiη @ -xq7igfXAd"" posts a small blind of 1",2024-03-24T09:00:14.301Z,171127081430104
"Your hand is K♠, 2♠",2024-03-24T09:00:14.301Z,171127081430102
"Player stacks: #7 ""Alwiη @ -xq7igfXAd"" (1455) | #10 ""reilly @ FkycgsPCCs"" (344)",2024-03-24T09:00:14.301Z,171127081430101
"-- starting hand #541 (id: pakdqvrbkyyz)  (No Limit Texas Hold'em) (dealer: ""Alwiη @ -xq7igfXAd"") --",2024-03-24T09:00:14.301Z,171127081430100
"-- ending hand #540 --",2024-03-24T09:00:11.373Z,171127081137302
"""reilly @ FkycgsPCCs"" collected 6 from pot",2024-03-24T09:00:11.373Z,171127081137301
"Uncalled bet of 4 returned to ""reilly @ FkycgsPCCs""",2024-03-24T09:00:11.373Z,171127081137300
"""Alwiη @ -xq7igfXAd"" folds",2024-03-24T09:00:10.543Z,171127081054300
"""reilly @ FkycgsPCCs"" raises to 7",2024-03-24T09:00:06.785Z,171127080678500
"""Alwiη @ -xq7igfXAd"" posts a big blind of 3",2024-03-24T09:00:04.762Z,171127080476205
"""reilly @ FkycgsPCCs"" posts a small blind of 1",2024-03-24T09:00:04.762Z,171127080476204
"Your hand is 3♣, J♥",2024-03-24T09:00:04.762Z,171127080476202
"Player stacks: #7 ""Alwiη @ -xq7igfXAd"" (1458) | #10 ""reilly @ FkycgsPCCs"" (341)",2024-03-24T09:00:04.762Z,171127080476201
"-- starting hand #540 (id: mloresblobyf)  (No Limit Texas Hold'em) (dealer: ""reilly @ FkycgsPCCs"") --",2024-03-24T09:00:04.762Z,171127080476200
"-- ending hand #539 --",2024-03-24T09:00:01.809Z,171127080180902
"""Alwiη @ -xq7igfXAd"" collected 6 from pot",2024-03-24T09:00:01.809Z,171127080180901
"Uncalled bet of 5 returned to ""Alwiη @ -xq7igfXAd""",2024-03-24T09:00:01.809Z,171127080180900
"""reilly @ FkycgsPCCs"" folds",2024-03-24T09:00:00.952Z,171127080095200
"""Alwiη @ -xq7igfXAd"" raises to 8",2024-03-24T08:59:59.513Z,171127079951300
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-03-24T08:59:54.340Z,171127079434005
