entry,at,order
"""𝗔𝗹𝘄𝗶𝗻 @ KKDJ1brgcv"" posts a big blind of 3",2024-12-24T12:25:54.607Z,173504315460706
"""Sai @ 0Y4I9d7s02"" posts a small blind of 1",2024-12-24T12:25:54.607Z,173504315460705
"Your hand is 3♣, Q♥",2024-12-24T12:25:54.607Z,173504315460703
"Player stacks: #2 ""Sai @ 0Y4I9d7s02"" (1219) | #9 ""𝗔𝗹𝘄𝗶𝗻 @ KKDJ1brgcv"" (1280) | #10 ""BP @ u8ZkobHQbm"" (1479)",2024-12-24T12:25:54.607Z,173504315460701
"-- starting hand #1107 (id: uyvuqj8uv598)  (No Limit Texas Hold'em) (dealer: ""BP @ u8ZkobHQbm"") --",2024-12-24T12:25:54.607Z,173504315460700
"-- ending hand #1106 --",2024-12-24T12:25:51.520Z,173504315152003
"""Sai @ 0Y4I9d7s02"" shows a A♠, J♦.",2024-12-24T12:25:51.520Z,173504315152002
"""𝗔𝗹𝘄𝗶𝗻 @ KKDJ1brgcv"" collected 167 from pot with Two Pair, 9's & 7's (combination: 9♥, 9♠, 7♥, 7♣, K♦)",2024-12-24T12:25:51.520Z,173504315152001
"""𝗔𝗹𝘄𝗶𝗻 @ KKDJ1brgcv"" shows a 9♥, 10♥.",2024-12-24T12:25:51.520Z,173504315152000
"""𝗔𝗹𝘄𝗶𝗻 @ KKDJ1brgcv"" checks",2024-12-24T12:25:50.705Z,173504315070500
"""Sai @ 0Y4I9d7s02"" checks",2024-12-24T12:25:47.564Z,173504314756400
"River: Q♦, 7♥, 7♣, 9♠ [K♦]",2024-12-24T12:25:42.497Z,173504314249700
"""𝗔𝗹𝘄𝗶𝗻 @ KKDJ1brgcv"" checks",2024-12-24T12:25:41.684Z,173504314168400
"""Sai @ 0Y4I9d7s02"" checks",2024-12-24T12:25:37.055Z,173504313705500
"Turn: Q♦, 7♥, 7♣ [9♠]",2024-12-24T12:25:33.482Z,173504313348200
"""BP @ u8ZkobHQbm"" folds",2024-12-24T12:25:32.604Z,173504313260400
"""𝗔𝗹𝘄𝗶𝗻 @ KKDJ1brgcv"" calls 43",2024-12-24T12:25:31.412Z,173504313141200
"""Sai @ 0Y4I9d7s02"" bets 43",2024-12-24T12:25:27.247Z,173504312724700
"""BP @ u8ZkobHQbm"" checks",2024-12-24T12:25:21.044Z,173504312104400
"Flop:  [Q♦, 7♥, 7♣]",2024-12-24T12:25:18.542Z,173504311854200
"""𝗔𝗹𝘄𝗶𝗻 @ KKDJ1brgcv"" calls 27",2024-12-24T12:25:17.707Z,173504311770700
"""Sai @ 0Y4I9d7s02"" calls 27",2024-12-24T12:25:12.091Z,173504311209100
"""BP @ u8ZkobHQbm"" raises to 27",2024-12-24T12:25:10.190Z,173504311019000
"""𝗔𝗹𝘄𝗶𝗻 @ KKDJ1brgcv"" raises to 8",2024-12-24T12:25:08.026Z,173504310802600
"""Sai @ 0Y4I9d7s02"" posts a big blind of 3",2024-12-24T12:25:03.544Z,173504310354406
"""BP @ u8ZkobHQbm"" posts a small blind of 1",2024-12-24T12:25:03.544Z,173504310354405
"Your hand is 9♥, 10♥",2024-12-24T12:25:03.544Z,173504310354403
