entry,at,order
"The player ""bigslickenergy @ Jh1XF6aI_W"" quits the game with a stack of 91.12.",2024-12-22T23:19:45.632Z,173490958563200
"-- ending hand #110 --",2024-12-22T23:19:39.729Z,173490957972902
"""bigslickenergy @ Jh1XF6aI_W"" collected 0.50 from pot",2024-12-22T23:19:39.729Z,173490957972901
"Uncalled bet of 0.25 returned to ""bigslickenergy @ Jh1XF6aI_W""",2024-12-22T23:19:39.729Z,173490957972900
"""PaulB @ DemOWvLIyz"" folds",2024-12-22T23:19:38.879Z,173490957887900
"The admin ""PaulB @ DemOWvLIyz"" enqueued the game stop on next hand.",2024-12-22T23:19:35.028Z,173490957502800
"""bigslickenergy @ Jh1XF6aI_W"" posts a big blind of 0.50",2024-12-22T23:19:32.122Z,173490957212208
"""PaulB @ DemOWvLIyz"" posts a small blind of 0.25",2024-12-22T23:19:32.122Z,173490957212207
"Player stacks: #1 ""PaulB @ DemOWvLIyz"" (222.42) | #9 ""bigslickenergy @ Jh1XF6aI_W"" (90.87)",2024-12-22T23:19:32.122Z,173490957212204
"-- starting hand #110 (id: hfy1j2ppgf0b)  (No Limit Texas Hold'em) (dealer: ""PaulB @ DemOWvLIyz"") --",2024-12-22T23:19:32.122Z,173490957212203
"The player ""HY @ RzZqRjTje6"" quits the game with a stack of 112.95.",2024-12-22T23:19:32.122Z,173490957212202
"The player ""SamD @ Dm4TwhYnFw"" quits the game with a stack of 107.13.",2024-12-22T23:19:32.122Z,173490957212201
"The player ""HY @ RzZqRjTje6"" stand up with the stack of 112.95.",2024-12-22T23:19:32.122Z,173490957212200
"-- ending hand #109 --",2024-12-22T23:19:26.173Z,173490956617302
"""PaulB @ DemOWvLIyz"" collected 0.50 from pot",2024-12-22T23:19:26.173Z,173490956617301
"Uncalled bet of 0.25 returned to ""PaulB @ DemOWvLIyz""",2024-12-22T23:19:26.173Z,173490956617300
"""SamD @ Dm4TwhYnFw"" folds",2024-12-22T23:19:25.353Z,173490956535300
"""bigslickenergy @ Jh1XF6aI_W"" folds",2024-12-22T23:19:24.445Z,173490956444500
"""HY @ RzZqRjTje6"" folds",2024-12-22T23:19:23.231Z,173490956323100
"""PaulB @ DemOWvLIyz"" posts a big blind of 0.50",2024-12-22T23:19:20.562Z,173490956056207
"""SamD @ Dm4TwhYnFw"" posts a small blind of 0.25",2024-12-22T23:19:20.562Z,173490956056206
"Player stacks: #1 ""PaulB @ DemOWvLIyz"" (222.17) | #2 ""HY @ RzZqRjTje6"" (112.95) | #9 ""bigslickenergy @ Jh1XF6aI_W"" (90.87) | #10 ""SamD @ Dm4TwhYnFw"" (107.38)",2024-12-22T23:19:20.562Z,173490956056201
"-- starting hand #109 (id: qfkadnj03qly)  (No Limit Texas Hold'em) (dealer: ""bigslickenergy @ Jh1XF6aI_W"") --",2024-12-22T23:19:20.562Z,173490956056200
"""PaulB @ DemOWvLIyz"" shows a 6♠, 10♥.",2024-12-22T23:19:16.112Z,173490955611200
"-- ending hand #108 --",2024-12-22T23:19:13.947Z,173490955394702
"""HY @ RzZqRjTje6"" collected 6.15 from pot",2024-12-22T23:19:13.947Z,173490955394701
"Uncalled bet of 4.61 returned to ""HY @ RzZqRjTje6""",2024-12-22T23:19:13.947Z,173490955394700
"""SamD @ Dm4TwhYnFw"" folds",2024-12-22T23:19:13.137Z,173490955313700
"""HY @ RzZqRjTje6"" raises to 5.81",2024-12-22T23:19:10.974Z,173490955097400
"""SamD @ Dm4TwhYnFw"" bets 1.20",2024-12-22T23:18:59.664Z,173490953966400
"Turn: 7♥, 8♣, 9♠ [10♦]",2024-12-22T23:18:51.875Z,173490953187500
"""HY @ RzZqRjTje6"" checks",2024-12-22T23:18:51.004Z,173490953100400
"""SamD @ Dm4TwhYnFw"" checks",2024-12-22T23:18:39.751Z,173490951975100
"Flop:  [7♥, 8♣, 9♠]",2024-12-22T23:18:37.031Z,173490951703100
"""SamD @ Dm4TwhYnFw"" calls 1.75",2024-12-22T23:18:36.158Z,173490951615800
"""bigslickenergy @ Jh1XF6aI_W"" folds",2024-12-22T23:18:33.588Z,173490951358800
"""HY @ RzZqRjTje6"" raises to 1.75",2024-12-22T23:18:29.001Z,173490950900100
"""PaulB @ DemOWvLIyz"" folds",2024-12-22T23:18:16.824Z,173490949682400
