entry,at,order
"The player ""reilly @ FkycgsPCCs"" passed the room ownership to ""Danny C @ R8jkHadH5e"".",2024-03-28T08:55:49.553Z,171161614955300
"The player ""reilly @ FkycgsPCCs"" quits the game with a stack of 1027.",2024-03-28T08:48:42.276Z,171161572227600
"The player ""BP @ 3nEm3CsHfN"" quits the game with a stack of 938.",2024-03-28T08:48:11.792Z,171161569179200
"The player ""BP @ 3nEm3CsHfN"" stand up with the stack of 938.",2024-03-28T08:48:10.268Z,171161569026800
"The player ""reilly @ FkycgsPCCs"" stand up with the stack of 1027.",2024-03-28T08:48:05.531Z,171161568553100
"-- ending hand #950 --",2024-03-28T08:48:02.481Z,171161568248102
"""reilly @ FkycgsPCCs"" collected 32 from pot with Two Pair, 7's & 3's (combination: 7♥, 7♦, 3♠, 3♦, A♣)",2024-03-28T08:48:02.481Z,171161568248101
"""reilly @ FkycgsPCCs"" shows a 10♦, 7♥.",2024-03-28T08:48:02.481Z,171161568248100
"""reilly @ FkycgsPCCs"" checks",2024-03-28T08:48:01.593Z,171161568159300
"""BP @ 3nEm3CsHfN"" checks",2024-03-28T08:48:00.744Z,171161568074400
"River: 3♠, 3♦, A♣, 7♦ [K♠]",2024-03-28T08:47:57.984Z,171161567798400
"""reilly @ FkycgsPCCs"" checks",2024-03-28T08:47:57.165Z,171161567716500
"""BP @ 3nEm3CsHfN"" checks",2024-03-28T08:47:46.163Z,171161566616300
"Turn: 3♠, 3♦, A♣ [7♦]",2024-03-28T08:47:45.339Z,171161566533900
"""BP @ 3nEm3CsHfN"" calls 9",2024-03-28T08:47:44.533Z,171161566453300
"""reilly @ FkycgsPCCs"" bets 9",2024-03-28T08:47:42.658Z,171161566265800
"""BP @ 3nEm3CsHfN"" checks",2024-03-28T08:47:38.168Z,171161565816800
"Flop:  [3♠, 3♦, A♣]",2024-03-28T08:47:37.129Z,171161565712900
"""BP @ 3nEm3CsHfN"" calls 7",2024-03-28T08:47:36.323Z,171161565632300
"""reilly @ FkycgsPCCs"" raises to 7",2024-03-28T08:47:34.592Z,171161565459200
"""BP @ 3nEm3CsHfN"" posts a big blind of 3",2024-03-28T08:47:32.354Z,171161565235405
"""reilly @ FkycgsPCCs"" posts a small blind of 1",2024-03-28T08:47:32.354Z,171161565235404
"Player stacks: #2 ""BP @ 3nEm3CsHfN"" (954) | #7 ""reilly @ FkycgsPCCs"" (1011)",2024-03-28T08:47:32.354Z,171161565235401
"-- starting hand #950 (id: ga0mjuz1sqa9)  (No Limit Texas Hold'em) (dealer: ""reilly @ FkycgsPCCs"") --",2024-03-28T08:47:32.354Z,171161565235400
"-- ending hand #949 --",2024-03-28T08:47:29.416Z,171161564941602
"""reilly @ FkycgsPCCs"" collected 32 from pot",2024-03-28T08:47:29.416Z,171161564941601
"Uncalled bet of 18 returned to ""reilly @ FkycgsPCCs""",2024-03-28T08:47:29.416Z,171161564941600
"""BP @ 3nEm3CsHfN"" folds",2024-03-28T08:47:28.554Z,171161564855400
"""reilly @ FkycgsPCCs"" raises to 26",2024-03-28T08:47:26.857Z,171161564685700
"""BP @ 3nEm3CsHfN"" bets 8",2024-03-28T08:47:14.727Z,171161563472700
"""reilly @ FkycgsPCCs"" checks",2024-03-28T08:47:12.584Z,171161563258400
"Flop:  [6♦, 6♠, A♣]",2024-03-28T08:47:11.263Z,171161563126300
"""reilly @ FkycgsPCCs"" calls 8",2024-03-28T08:47:10.456Z,171161563045600
"""BP @ 3nEm3CsHfN"" raises to 8",2024-03-28T08:47:08.183Z,171161562818300
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-03-28T08:47:06.662Z,171161562666205
"""BP @ 3nEm3CsHfN"" posts a small blind of 1",2024-03-28T08:47:06.662Z,171161562666204
"Player stacks: #2 ""BP @ 3nEm3CsHfN"" (970) | #7 ""reilly @ FkycgsPCCs"" (995)",2024-03-28T08:47:06.662Z,171161562666201
"-- starting hand #949 (id: b1zo0vztgfca)  (No Limit Texas Hold'em) (dealer: ""BP @ 3nEm3CsHfN"") --",2024-03-28T08:47:06.662Z,171161562666200
"-- ending hand #948 --",2024-03-28T08:47:03.629Z,171161562362902
"""reilly @ FkycgsPCCs"" collected 14 from pot with A High (combination: A♥, K♦, Q♥, 6♦, 5♥)",2024-03-28T08:47:03.629Z,171161562362901
"""reilly @ FkycgsPCCs"" shows a A♥, K♦.",2024-03-28T08:47:03.629Z,171161562362900
"""reilly @ FkycgsPCCs"" checks",2024-03-28T08:47:02.803Z,171161562280300
"""BP @ 3nEm3CsHfN"" checks",2024-03-28T08:47:01.943Z,171161562194300
"River: 2♥, 6♦, 4♣, 5♥ [Q♥]",2024-03-28T08:47:00.162Z,171161562016200
"""reilly @ FkycgsPCCs"" checks",2024-03-28T08:46:59.341Z,171161561934100
"""BP @ 3nEm3CsHfN"" checks",2024-03-28T08:46:47.923Z,171161560792300
"Turn: 2♥, 6♦, 4♣ [5♥]",2024-03-28T08:46:46.592Z,171161560659200
"""reilly @ FkycgsPCCs"" checks",2024-03-28T08:46:45.779Z,171161560577900
"""BP @ 3nEm3CsHfN"" checks",2024-03-28T08:46:40.608Z,171161560060800
"Flop:  [2♥, 6♦, 4♣]",2024-03-28T08:46:39.630Z,171161559963000
"""BP @ 3nEm3CsHfN"" calls 7",2024-03-28T08:46:38.787Z,171161559878700
"""reilly @ FkycgsPCCs"" raises to 7",2024-03-28T08:46:37.080Z,171161559708000
"""BP @ 3nEm3CsHfN"" posts a big blind of 3",2024-03-28T08:46:34.514Z,171161559451405
"""reilly @ FkycgsPCCs"" posts a small blind of 1",2024-03-28T08:46:34.514Z,171161559451404
"Player stacks: #2 ""BP @ 3nEm3CsHfN"" (977) | #7 ""reilly @ FkycgsPCCs"" (988)",2024-03-28T08:46:34.514Z,171161559451401
"-- starting hand #948 (id: e9alz0i8rsvs)  (No Limit Texas Hold'em) (dealer: ""reilly @ FkycgsPCCs"") --",2024-03-28T08:46:34.514Z,171161559451400
"-- ending hand #947 --",2024-03-28T08:46:31.578Z,171161559157802
"""BP @ 3nEm3CsHfN"" collected 6 from pot",2024-03-28T08:46:31.578Z,171161559157801
"Uncalled bet of 5 returned to ""BP @ 3nEm3CsHfN""",2024-03-28T08:46:31.578Z,171161559157800
"""reilly @ FkycgsPCCs"" folds",2024-03-28T08:46:30.748Z,171161559074800
"""BP @ 3nEm3CsHfN"" raises to 8",2024-03-28T08:46:29.143Z,171161558914300
"""reilly @ FkycgsPCCs"" posts a big blind of 3",2024-03-28T08:46:26.673Z,171161558667305
"""BP @ 3nEm3CsHfN"" posts a small blind of 1",2024-03-28T08:46:26.673Z,171161558667304
"Player stacks: #2 ""BP @ 3nEm3CsHfN"" (974) | #7 ""reilly @ FkycgsPCCs"" (991)",2024-03-28T08:46:26.673Z,171161558667301
"-- starting hand #947 (id: 2zbmrah0ahmv)  (No Limit Texas Hold'em) (dealer: ""BP @ 3nEm3CsHfN"") --",2024-03-28T08:46:26.673Z,171161558667300
"-- ending hand #946 --",2024-03-28T08:46:23.764Z,171161558376402
"""reilly @ FkycgsPCCs"" collected 74 from pot",2024-03-28T08:46:23.764Z,171161558376401
"Uncalled bet of 22 returned to ""reilly @ FkycgsPCCs""",2024-03-28T08:46:23.764Z,171161558376400
"""BP @ 3nEm3CsHfN"" folds",2024-03-28T08:46:22.952Z,171161558295200
"""reilly @ FkycgsPCCs"" bets 22",2024-03-28T08:46:19.503Z,171161557950300
"""BP @ 3nEm3CsHfN"" checks",2024-03-28T08:45:58.204Z,171161555820400
"River: 3♦, 5♦, 10♦, Q♠ [10♥]",2024-03-28T08:45:56.685Z,171161555668500
"""BP @ 3nEm3CsHfN"" calls 21",2024-03-28T08:45:55.849Z,171161555584900
"""reilly @ FkycgsPCCs"" bets 21",2024-03-28T08:45:52.092Z,171161555209200
"""BP @ 3nEm3CsHfN"" checks",2024-03-28T08:45:40.218Z,171161554021800
"Turn: 3♦, 5♦, 10♦ [Q♠]",2024-03-28T08:45:38.794Z,171161553879400
"""BP @ 3nEm3CsHfN"" calls 9",2024-03-28T08:45:37.981Z,171161553798100
"""reilly @ FkycgsPCCs"" bets 9",2024-03-28T08:45:35.907Z,171161553590700
"""BP @ 3nEm3CsHfN"" checks",2024-03-28T08:45:31.743Z,171161553174300
"Flop:  [3♦, 5♦, 10♦]",2024-03-28T08:45:30.788Z,171161553078800
"""BP @ 3nEm3CsHfN"" calls 7",2024-03-28T08:45:29.943Z,171161552994300
"""reilly @ FkycgsPCCs"" raises to 7",2024-03-28T08:45:28.326Z,171161552832600
"""BP @ 3nEm3CsHfN"" posts a big blind of 3",2024-03-28T08:45:27.384Z,171161552738405
"""reilly @ FkycgsPCCs"" posts a small blind of 1",2024-03-28T08:45:27.384Z,171161552738404
