entry,at,order
"The player ""AHH @ KKDJ1brgcv"" stand up with the stack of 309.02.",2024-12-26T08:07:01.754Z,173520042175400
"The player ""saswoot @ sF0-cGGFKy"" quits the game with a stack of 140.21.",2024-12-26T08:02:30.624Z,173520015062400
"The admin ""HY @ RzZqRjTje6"" enqueued the game stop on next hand.",2024-12-26T08:01:50.696Z,173520011069600
"""AHH @ KKDJ1brgcv"" shows a 7♣.",2024-12-26T08:01:49.438Z,173520010943800
"""AHH @ KKDJ1brgcv"" shows a 5♦.",2024-12-26T08:01:48.939Z,173520010893900
"""NJBM @ y7QyPff-Hk"" shows a 3♥, 4♥, J♣, 6♠.",2024-12-26T08:01:48.924Z,173520010892400
"-- ending hand #311 --",2024-12-26T08:01:47.521Z,173520010752102
"""NJBM @ y7QyPff-Hk"" collected 60.00 from pot",2024-12-26T08:01:47.521Z,173520010752101
"Uncalled bet of 60.00 returned to ""NJBM @ y7QyPff-Hk""",2024-12-26T08:01:47.521Z,173520010752100
"""PaulB @ DemOWvLIyz"" folds",2024-12-26T08:01:46.668Z,173520010666800
"""NJBM @ y7QyPff-Hk"" bets 60.00",2024-12-26T08:01:38.516Z,173520009851600
"River (second board): 6♥, Q♠, A♦, 3♠ [3♣]",2024-12-26T08:01:31.647Z,173520009164701
"River: 10♣, 6♦, J♠, 4♣ [3♦]",2024-12-26T08:01:31.647Z,173520009164700
"""NJBM @ y7QyPff-Hk"" calls 20.00",2024-12-26T08:01:30.820Z,173520009082000
"""HY @ RzZqRjTje6"" folds",2024-12-26T08:01:26.267Z,173520008626700
"""PaulB @ DemOWvLIyz"" bets 20.00",2024-12-26T08:01:14.626Z,173520007462600
"""NJBM @ y7QyPff-Hk"" checks",2024-12-26T08:01:10.133Z,173520007013300
"""HY @ RzZqRjTje6"" checks",2024-12-26T08:01:05.836Z,173520006583600
"Turn (second board): 6♥, Q♠, A♦ [3♠]",2024-12-26T08:01:03.610Z,173520006361001
"Turn: 10♣, 6♦, J♠ [4♣]",2024-12-26T08:01:03.610Z,173520006361000
